timestamp,island_id,category_input,category_final,generation_time,total_time,status
2025-11-21 12:01:49,129,nature,camellia,16.06,17.66,success
2025-11-21 12:12:07,193,nature,hydragea,22.05,23.17,success
2025-11-21 12:26:31,171,nature,autumn,16.05,17.66,success
2025-11-21 12:27:26,101,nature,cherry,16.06,17.7,success
2025-11-21 12:28:17,98,nature,camellia,20.2,21.83,success
2025-11-21 12:32:59,361,nature,canola,14.05,15.67,success
2025-11-21 12:33:27,99,nature,cherry,16.07,18.08,success
2025-11-21 12:43:01,315,nature,camellia,22.08,23.71,success
2025-11-21 12:44:56,75,nature,cherry,14.05,15.6,success
2025-11-21 12:50:21,34,nature,winter,12.06,13.78,success
2025-11-21 12:50:59,258,nature,hydragea,14.05,15.08,success
2025-11-21 12:51:48,355,nature,hydragea,12.1,13.09,success
2025-11-21 12:52:25,361,nature,canola,12.06,13.61,success
2025-11-21 12:55:16,39,nature,cherry,10.05,11.62,success
2025-11-21 12:56:12,112,nature,winter,12.06,13.7,success
2025-11-21 13:56:04,283,nature,autumn,12.06,13.8,success
2025-11-21 13:57:00,75,nature,camellia,16.06,17.65,success
2025-11-21 14:09:13,44,taste,fantasy,46.36,48.17,success
2025-11-21 14:14:04,47,taste,fantasy,46.12,47.83,success
